"id","name","code","account_type","reconcile","currency_id","tag_ids","name@zh_CN"
"mjb_l10n_cn_22110700","State payable - HAF","22110700","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 应付公积金 (公司)"
"mjb_l10n_cn_22110800","SP - non issued paysilp","22110800","liability_current","True","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付职工薪酬 - 预提工资"
"mjb_l10n_cn_22210000","State payable (EP)","22210000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费"
"mjb_l10n_cn_22210101","EP - Input VAT","22210101","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交增值税 - 进项税"
"mjb_l10n_cn_22210120","EP - VAT Payment","22210120","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 已交税金"
"mjb_l10n_cn_22210150","EP - Output VAT","22210150","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交增值税 - 销项税"
"mjb_l10n_cn_22210160","EP - VAT Refund from State","22210160","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 出口退税"
"mjb_l10n_cn_22210170","EP - VAT Balance Payment to State","22210170","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 未交增值税"
"mjb_l10n_cn_22210190","EP - VAT credit to be reported","22210190","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 转出多交增值税"
"mjb_l10n_cn_22210200","EP - Business profit tax","22210200","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交营业税"
"mjb_l10n_cn_22210300","EP - Consumption tax","22210300","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交消费税"
"mjb_l10n_cn_22210400","EP - local(bunk) tax","22210400","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交堤围费"
"mjb_l10n_cn_22210500","EP - Income tax payable","22210500","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交所得税"
"mjb_l10n_cn_22210600","EP - Land value increment tax","22210600","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交土地增值税"
"mjb_l10n_cn_22210700","EP - City planning tax","22210700","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交城市维护建设税"
"mjb_l10n_cn_22210810","EP - Education tax","22210810","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交教育费附加"
"mjb_l10n_cn_22210820","EP - Local Education tax","22210820","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 地方应交教育费附加"
"mjb_l10n_cn_22210900","EP - Land use tax","22210900","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交土地使用税"
"mjb_l10n_cn_22211000","EP - Operation tax of vehicle and ship","22211000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交车船使用税"
"mjb_l10n_cn_22211100","EP - Personal tax","22211100","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 应交个人所得税"
"mjb_l10n_cn_22211210","EP - Abroad Input and refundable VAT","22211210","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 国外进项税(可抵扣)"
